"Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm"
"A65_P1","Sheldon_2012_FS","10.1899/11-135.1",-83.51276,35.58612,29.3,5.49,1041.61,947.99,1989.6,1265.22
"A66_P1","Hernandez_al_2014_AFS","10.1007/s13595-013-0308-6",-0.96816,42.85112,1669.35,33.8,1873.75,471.65,2345.4,1073.49
"A67_P1","Hersteinsson_Macdonald_1992_Oikos","10.2307/3545168",-74.69933,68.61296,508755.49,1032.52,2131.4,0,2131.4,236.91
"A68_P1","Hsieh_al_2008_CJFAS","10.1139/f08-017",-121.11411,32.74546,202618.61,585.97,NA,NA,NA,NA
"A69_P1","Jepsen_al_2008_JAE","10.1111/j.1365-2656.2007.0",23.67007,68.35419,247983.93,474.82,2014.18,0,2014.18,363.75
"A7_P1","Betzholtz_al_2013_PRSLB","10.1098/rspb.2012.2305",16.74447,62.816,446026.13,1276.02,2014.18,0,2014.18,321.88
"A70_P1","Wernberg_al_2011_CB","10.1016/j.cub.2011.09.028",117.12716,-26.61388,95630.42,2293.03,NA,NA,NA,NA
"A70_P2","Wernberg_al_2011_CB","10.1016/j.cub.2011.09.028",150.68021,-27.92001,60219.27,2628.6,NA,NA,NA,NA
"A71_P1","Maclean_al_2008_GCB","10.1111/j.1365-2486.2008.01666.x",3.3579,50.33734,1321837.28,1908.23,4686.09,0,4686.09,360.06
"A72_P1","Parolo_Rossi_2008_BAE","10.1016/j.baae.2007.01.005",9.91177,46.34965,8.85,3,1333.56,2256.57,3590.13,3063.47
"A74_P1","Pitt_al_2010_MFR","10.1071/MF09225",146.78755,-42.33362,5074.51,333.89,NA,NA,NA,NA
"A75_P1","Raxworthy_al_2008_GCB","10.1111/j.1365-2486.2008.01596.x",48.98352,-14.03793,933.13,33.72,2172.18,653.66,2825.84,812.62
"A76_P1","Beever_al_2011_GCB","10.1111/j.1365-2486.2010.02389.x",-116.22835,39.23461,533071.72,1140.23,4414.76,0,4414.76,1560.55
"A76_P2","Beever_al_2011_GCB","10.1111/j.1365-2486.2010.02389.x",-116.22835,39.23461,533071.72,1140.23,4414.76,0,4414.76,1560.55
"A77_P1","Battisti_al_2005_EA","10.1890/04-1903",2.24935,48.25122,16161.01,138.37,216.61,20.12,236.73,139.31
"A77_P2","Battisti_al_2005_EA","10.1890/04-1903",10.7798,46.62519,59.77,7.6,2025.37,651.92,2677.3,2291.6
"A78_P1","Danby_Hik_2007_Arctic","https://www.jstor.org/stable/40512964",-139.50006,61.47444,886.99,23.58,1672.55,701.23,2373.77,1055.03
