PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
51;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Nelson River  Lake Sipiwesk;59;0.14;Population;1;;11;0.396;0.478;4.111;2.9;55.088;-97.576;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
52;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Nottaway River ;90;0.12;Population;1;;11;0.451;0.51;3.778;3.09;49.816316;-77.656203;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
53;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Pic River ;46;0.1;Population;1;;11;0.449;0.555;4.222;3.22;48.603956;-86.294251;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
54;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Saskatchewan River ;129;0.09;Population;1;;11;0.422;0.47;3.667;2.9;54.045756;-112.212979;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
55;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;St. Lawrence River;38;0.12;Population;1;;11;0.473;0.523;5;3.46;46.059;-73.067;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
56;R8;2009;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Winnipeg River Numao Lake;113;0.09;Population;3;One Pop;11;0.498;0.55;4.009;3.24;50.171;-95.633;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
57;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Arrow L;20;0.058;Global;1;;9;NA;NA;NA;NA;50.727566;-117.788491;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
58;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Kootenay L.;50;0.058;Global;1;;9;NA;NA;NA;NA;49.636308;-116.901345;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
59;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;CAN;Kootenay R;50;0.058;Global;1;;9;NA;NA;NA;NA;49.35825;-117.569451;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
60;R9;2002;Freshwater;Acipenseridae;Acipenser;transmontanus;Acipenser_transmontanus;White sturgeon;NAm;USA;Lower Columbia River;50;0.058;Global;1;;9;NA;NA;NA;NA;46.229214;-123.649886;4;19;56;36;6.51196E+11;651195687.4;;;;;;;;;;;;;;
