"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"90",234,"Carex paupercula","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex magellanica","Carex magellanica","Carex magellanica"
"91",235,"Carex rostrata","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex rostrata","Carex rostrata","Carex rostrata"
"92",236,"Carex rupestris","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex rupestris","Carex rupestris","Carex rupestris"
"93",237,"Carex saxatilis","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex saxatilis","Carex saxatilis","Carex saxatilis"
"94",238,"Carex vaginata","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex","Carex vaginata","Carex vaginata","Carex vaginata"
"95",240,"Cerastium cerastoides","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium cerastoides","Cerastium cerastoides","Cerastium cerastoides"
"96",242,"Cerastium fontanum","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium fontanum","Cerastium fontanum","Cerastium fontanum"
"97",243,"Chamerion angustifolium","plant","Plantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae","Chamaenerion","Chamaenerion angustifolium","Chamaenerion angustifolium","Chamaenerion angustifolium"
"98",245,"Cirsium heterophyllum","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium heterophyllum","Cirsium heterophyllum","Cirsium heterophyllum"
"99",247,"Comarum palustre","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Comarum","Comarum palustre","Comarum palustre","Comarum palustre"
"100",248,"Deschampsia cespitosa","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Deschampsia","Deschampsia cespitosa","Deschampsia cespitosa","Deschampsia cespitosa"
"101",250,"Empetrum nigrum","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Empetrum nigrum","Empetrum nigrum"
"102",252,"Equisetum arvense","plant","Plantae","Streptophyta","Polypodiopsida","Equisetales","Equisetaceae","Equisetum","Equisetum arvense","Equisetum arvense","Equisetum arvense"
"103",253,"Equisetum fluviatile","plant","Plantae","Streptophyta","Polypodiopsida","Equisetales","Equisetaceae","Equisetum","Equisetum fluviatile","Equisetum fluviatile","Equisetum fluviatile"
"104",254,"Eriophorum angustifolium","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Eriophorum","Eriophorum angustifolium","Eriophorum angustifolium","Eriophorum angustifolium"
"105",255,"Euphrasia wettsteinii","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Euphrasia","Euphrasia wettsteinii","Euphrasia wettsteinii","Euphrasia wettsteinii"
"106",258,"Festuca rubra","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Festuca","Festuca rubra","Festuca rubra","Festuca rubra"
"107",259,"Geranium sylvaticum","plant","Plantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","Geranium sylvaticum","Geranium sylvaticum","Geranium sylvaticum"
"108",261,"Geum rivale","plant","Plantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Geum","Geum rivale","Geum rivale","Geum rivale"
"109",262,"Gymnocarpium dryopteris","plant","Plantae","Streptophyta","Polypodiopsida","Polypodiales","Cystopteridaceae","Gymnocarpium","Gymnocarpium dryopteris","Gymnocarpium dryopteris","Gymnocarpium dryopteris"
"110",264,"Juncus biglumis","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus","Juncus biglumis","Juncus biglumis","Juncus biglumis"
"111",266,"Juncus trifidus","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Oreojuncus","Oreojuncus trifidus","Oreojuncus trifidus","Oreojuncus trifidus"
"112",269,"Juniperus communis","plant","Plantae","Streptophyta","Pinopsida",NA,"Cupressaceae","Juniperus","Juniperus communis","Juniperus communis","Juniperus communis"
"113",270,"Leontodon autumnalis","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Scorzoneroides","Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides autumnalis"
"114",271,"Loiseleuria procumbens","plant","Plantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Kalmia","Kalmia procumbens","Kalmia procumbens","Kalmia procumbens"
"115",274,"Luzula confusa","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula","Luzula confusa","Luzula confusa","Luzula confusa"
"116",276,"Luzula multiflora","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula","Luzula multiflora","Luzula multiflora","Luzula multiflora"
"117",277,"Luzula pilosa","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula","Luzula pilosa","Luzula pilosa","Luzula pilosa"
"118",279,"Luzula spicata","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Luzula","Luzula spicata","Luzula spicata","Luzula spicata"
"119",280,"Melampyrum sylvaticum","plant","Plantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Melampyrum","Melampyrum sylvaticum","Melampyrum sylvaticum","Melampyrum sylvaticum"
"120",282,"Myosotis decumbens","plant","Plantae","Streptophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis decumbens","Myosotis decumbens","Myosotis decumbens"
"121",283,"Nardus stricta","plant","Plantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Nardus","Nardus stricta","Nardus stricta","Nardus stricta"
"122",284,"Omalotheca norvegica","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Gnaphalium","Gnaphalium norvegicum","Gnaphalium norvegicum","Gnaphalium norvegicum"
"123",286,"Omalotheca supina","plant","Plantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Gnaphalium","Gnaphalium supinum","Gnaphalium supinum","Gnaphalium supinum"
"124",287,"Oxyria digyna","plant","Plantae","Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Oxyria","Oxyria digyna","Oxyria digyna","Oxyria digyna"
