"PopId","RefID","Year","TaxaClass","Family","Genus","Species","G_s","Common","Continent","Country","Location","n","FST","GlobalFST","PopsCombo","GroupedCoord","Ho","He","MNA","AR","Lat","Long","Msats","spp","spp_new"
71,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Goulais River","44","6.4799999999999996E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",46.721611,-84.383181,"12","Acipenser fulvescens","Acipenser fulvescens"
72,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Grasse River","38","0.129","Population",1,NA,"NA","0.56000000000000005","NA","2.76",44.961592,-74.810886,"12","Acipenser fulvescens","Acipenser fulvescens"
73,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Kaministiquia River","85","0.1129","Population",1,NA,"NA","0.56000000000000005","NA","NA",48.361201,-89.27674,"12","Acipenser fulvescens","Acipenser fulvescens"
74,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Lake Champlain","37","9.4799999999999995E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",44.554817,-73.383541,"12","Acipenser fulvescens","Acipenser fulvescens"
75,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Lake Nipissing","77","7.3999999999999996E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",46.266608,-79.746565,"12","Acipenser fulvescens","Acipenser fulvescens"
76,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Mississaugi River","96","6.5199999999999994E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",46.191417,-83.030633,"12","Acipenser fulvescens","Acipenser fulvescens"
77,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Spanish River","51","9.4799999999999995E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",46.267841,-81.754241,"12","Acipenser fulvescens","Acipenser fulvescens"
78,"R10",2008,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Wolf River","30","8.2400000000000001E-2","Population",1,NA,"NA","0.56000000000000005","NA","NA",44.378637,-88.601136,"12","Acipenser fulvescens","Acipenser fulvescens"
79,"R11",2002,"Freshwater","Acipenseridae","Acipenser","oxyrinchus","Acipenser_oxyrinchus","Atlantic Sturgeon","NAm","USA","Pearl","30","0.23100000000000001","Population",1,NA,"NA","NA","3.9","NA",30.230051,-89.617367,"7","Acipenser oxyrinchus","Acipenser oxyrinchus"
80,"R12",2010,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Holden Lake+ Allumette Lake +Muskrat River +Lac Coulonge +Lac du Rocher Fendu +Cheneux +Lac Deschenes +Lac Dollard des Ormeaux","240","1.6799999999999999E-2","Population",8,"Middle","0.55000000000000004","0.6","4.1779999999999999","3.335",45.8833,-77.2167,"14","Acipenser fulvescens","Acipenser fulvescens"
